state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
UTTARAKHAND,ALMORA,BHIKIASAIN,JAITKHOLA,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,6000000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Electric,20,48,43,0,0,6,6,NA,NA,Yes,NA,NA,No,8,8,8,0,0,16,8,8,0,0,16,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,ALMORA,BHIKIASAIN,PIPAROLI,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,50000,80000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Electric,20,40,39,0,0,6,6,NA,NA,Yes,NA,NA,No,5,5,5,0,0,10,5,5,0,0,10,Yes,Breakdown of channels,NA,NA,NA,1,NA,NA
UTTARAKHAND,PITHORGARH,MUNSIYARI,DUNGRI,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,180000,0,NA,NA,200000,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Others,10,50,45,20,20,8,8,5,5,Yes,NA,NA,No,12,7.2,8.4,0,2.4,18,6,7.2,0,1.2,14.4,Yes,Less discharge in the well,NA,NA,NA,1,NA,NA
UTTARAKHAND,PITHORGARH,MUNSIYARI,LODH,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,180000,0,NA,NA,200000,0,Temporarily Not in use,2,Siltation of canal/storage,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Others,10,18,15,10,10,4,4,2,2,Yes,NA,NA,No,12,7.2,8.4,0,2.4,18,1.5,2,0,1,4.5,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UTTARKASHI,PUROLA,BILGADHERA PALLA,2,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,274870,345800,0,NA,NA,274870,345800,In-Use,NA,NA,NA,Surface pipe,Others,Others,0,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,10,7,6,0,0.5,13.5,7,6,0,0.5,13.5,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,CHAMPAWAT,Bhandar Bora,2,NA,Others,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,80000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,45,35,8,7,8,4,1,1,Yes,NA,NA,No,21,10,10,1,1,22,10,10,1,1,22,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,BAGESHWAR,GARUR,KULAUN,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,0,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Others,4,100,80,70,60,10,8,6,5,Yes,NA,NA,No,3,2,2,1,1,6,2,2,1,0.9,5.9,Yes,Breakdown of channels,NA,NA,NA,2,1,11
UTTARAKHAND,CHAMPAWAT,CHAMPAWAT,Barpass,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,20000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,5,45,40,30,25,8,6,2,2,Yes,NA,NA,No,24,20,18,1,1,40,20,6,1,1,28,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,LOHAGHAT,Gauri,3,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,5,45,40,35,35,8,4,1,1,Yes,NA,NA,No,16,9,8,1,1,19,9,8,1,1,19,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,CHAMPAWAT,Khatoli Talli,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,6,45,40,30,30,8,6,1,1,Yes,NA,NA,No,12,9,8,2,1,20,8,7,2,1,18,No,NA,NA,NA,NA,1,NA,NA
